"par","value","cal"
"int.f0",0.791717647318548,TRUE
"bLS.r1",-2.7960444043455,TRUE
"wt.r1",-1.92431135615505,TRUE
"air.temp.r1",0.0369107417190749,TRUE
"wind.wt.r1",0.588922206281914,TRUE
"wind.bLS.r1",0.658479304517397,TRUE
"int.r2",-1.4080588658286,TRUE
"rain.rate.r2",0.881440113731284,TRUE
"bLS.r3",-4.00022792132998,TRUE
"wt.r3",-3.231406645173,TRUE
"wind.wt.r3",0.293662345954164,TRUE
"wind.bLS.r3",0.161766152417413,TRUE
"air.temp.r3",0.00292226936234469,TRUE
"man.dm.f0",0.399670699937794,FALSE
"man.dm.r1",-0.139881887708132,FALSE
"man.ph.r1",0.665,FALSE
"man.ph.r3",0.238,FALSE
