"institute","meas.tech3","field","pmid","file","row.in.file.plot","first.row.in.file.int","app.date"
"AU","bLS Alpha samplers","FoulumgårdD","1939, 1940","../../data-submitted/03/AU/ALFAM2_template_7_0_eGylle_NL_DE_JK.xlsx","5","5, 24","2021-08-20"
"AU","bLS NA","FoulumgårdD","1936","../../data-submitted/03/AU/ALFAM2_template_6_1_eGylle_JK_3.xlsx","6","471","2021-08-20"
"AU","DTM NA","FoulumgårdD","1941","../../data-submitted/03/AU/ALFAM2_template_7_0_eGylle_NL_DE_JK.xlsx","5","43","2021-08-20"
"AU","Wind tunnel NA","FoulumgårdD","1911, 1912, 1913, 1914, 1915, 1916, 1917","../../data-submitted/03/AU/ALFAM2_template_6_1_220317_JP_21CD22A.xlsx","12, 13, 14, 15, 16, 17, 18","978, 1114, 1250, 1386, 1522, 1658, 1794","2021-08-20"
"AU","bLS Acid traps","WUR","1942","../../data-submitted/03/AU/ALFAM2_template_7_0_eGylle_NL_DE_JK.xlsx","6","100","2021-11-09"
"AU","bLS CRDS avg.","WUR","1943","../../data-submitted/03/AU/ALFAM2_template_7_0_eGylle_NL_DE_JK.xlsx","6","91","2021-11-09"
"AU","bLS NA","WUR","1937","../../data-submitted/03/AU/ALFAM2_template_6_1_eGylle_JK_3.xlsx","7","955","2021-11-09"
"AU","IHF Acid traps","WUR","1944","../../data-submitted/03/AU/ALFAM2_template_7_0_eGylle_NL_DE_JK.xlsx","6","82","2021-11-09"
"AU","Wind tunnel NA","WUR","1926, 1927, 1928, 1929, 1930, 1931, 1932, 1933, 1934","../../data-submitted/03/AU/ALFAM2_template_6_1_220524_JP_21E_220610.xlsx","5, 12, 13, 6, 7, 8, 9, 10, 11","5, 101, 195, 289, 384, 479, 574, 668, 762","2021-11-09"
